,investor,year,weighted_score
9452,LEVY HARKINS & CO INC/,2013,12.64081081601044
9865,Lloyds Banking Group plc,2013,12.549906327856565
17013,"Van Cleef Asset Management,Inc",2013,12.541914580267303
7018,GREYSTONE INVESTMENT MANAGEMENT LLC,2013,12.416994866036728
4920,DOCK STREET ASSET MANAGEMENT INC,2013,12.29704810581943
9993,M&R CAPITAL MANAGEMENT INC,2013,12.219273519265641
3735,CUTLER INVESTMENT COUNSEL LLC,2013,12.200805342795922
205,"AFFINITY INVESTMENT ADVISORS, LLC",2013,12.1801148634194
7417,Guinness Asset Management LTD,2013,12.150789089315094
6395,"First Eagle Investment Management, LLC",2013,12.139838031333928
13339,R. G. NIEDERHOFFER CAPITAL MANAGEMENT INC,2013,12.110617682885067
17791,Willis Investment Counsel,2013,12.10282816680931
6111,FORT WASHINGTON INVESTMENT ADVISORS INC /OH/,2013,12.090832501253159
16453,Third Point LLC,2013,12.086212856227794
11869,ORLEANS CAPITAL MANAGEMENT CORP/LA,2013,12.083014792644935
7903,"Hamlin Capital Management, LLC",2013,12.064172360012984
10328,MEAG MUNICH ERGO KAPITALANLAGEGESELLSCHAFT MBH,2013,12.056354127279782
12825,Peloton Wealth Strategists,2013,11.96489170248866
14451,SHIKIAR ASSET MANAGEMENT INC,2013,11.931054517733445
5824,FCM INVESTMENTS/TX,2013,11.914483032746947
7783,"HOURGLASS CAPITAL, LLC",2013,11.828099781230405
6435,"First National Bank of Mount Dora, Trust Investment Services",2013,11.776356419191947
5100,"Decatur Capital Management, Inc.",2013,11.734426445025317
17911,ZACKS INVESTMENT MANAGEMENT,2013,11.619038700283681
15979,"THOMASPARTNERS, INC.",2013,11.535099464542778
8289,IBM Retirement Fund,2013,11.48388165575771
11596,Nexus Investment Management Inc.,2013,11.397384431771941
2465,BloombergSen Inc.,2013,11.362118613024148
16995,"Valiant Capital Management, L.P.",2013,11.347016193702524
8457,ITHAKA GROUP LLC,2013,11.347003669078518
12619,PZENA INVESTMENT MANAGEMENT LLC,2013,11.287592055676729
17076,"Verity & Verity, LLC",2013,11.246655007180635
9839,Lipe & Dalton,2013,11.224244467087464
15127,Saturna Capital CORP,2013,11.214081188280357
15391,"Skylands Capital, LLC",2013,11.202413155469706
15633,"Sterneck Capital Management, LLC",2013,11.124896603478806
4573,"Crestwood Capital Management, L.P.",2013,11.109146078434275
5734,"Exchange Capital Management, Inc.",2013,11.097272013588768
2722,"Bruce & Co., Inc.",2013,10.949248474555485
8824,JUPITER ASSET MANAGEMENT LTD,2013,10.794117757468571
